
FUTIL_ADD_001       0,20211114,11202725,OK,    ,    ,Juichi      ,DELL1195    ,
FUTIL_ADD_001       1,20211114,11065572,OK,    ,    ,            ,            ,
FUTIL_ADD_001       2,20211111,11403189,OK,    ,    ,            ,            ,OK
FUTIL_CRE_001       0,20220314,11053702,OK,    ,    ,Juichi      ,DELL1195    ,
FUTIL_CRE_001       1,20220314,10472314,OK,    ,    ,Juichi      ,DELL1195    ,
FUTIL_CRE_001       2,20220314,10463248,OK,    ,    ,Juichi      ,DELL1195    ,
FUTIL_CRE_001       3,20220314,10444489,OK,    ,    ,Juichi      ,DELL1195    ,
IF_IDX_001I         0,20220314,14594132,OK,    ,    ,Juichi      ,DELL1195    ,
IF_IDX_001I         1,20220314,14470861,OK,    ,    ,Juichi      ,DELL1195    ,
IF_IDX_001I         2,20220314,14444532,NG,    ,    ,Juichi      ,DELL1195    ,
IF_IDX_001I         3,20220314,12041611,OK,    ,    ,Juichi      ,DELL1195    ,
IF_IDX_001R         0,20220314,14594141,OK,    ,    ,Juichi      ,DELL1195    ,
IF_IDX_001R         1,20220314,14470868,OK,    ,    ,Juichi      ,DELL1195    ,
IF_IDX_001R         2,20220314,14444541,OK,    ,    ,Juichi      ,DELL1195    ,
IF_IDX_001R         3,20220314,12041621,OK,    ,    ,Juichi      ,DELL1195    ,
IF_IDX_001S         0,20220314,14594143,OK,    ,    ,Juichi      ,DELL1195    ,
IF_IDX_001S         1,20220314,14470871,OK,    ,    ,Juichi      ,DELL1195    ,
IF_IDX_001S         2,20220314,14444543,OK,    ,    ,Juichi      ,DELL1195    ,
IF_IDX_001S         3,20220314,12041623,OK,    ,    ,Juichi      ,DELL1195    ,
IF_IDX_004          0,20220314,14594144,OK,    ,    ,Juichi      ,DELL1195    ,
IF_IDX_004          1,20220314,14470872,OK,    ,    ,Juichi      ,DELL1195    ,
IF_IDX_004          2,20220314,14444546,OK,    ,    ,Juichi      ,DELL1195    ,
IF_IDX_004          3,20220314,12041625,OK,    ,    ,Juichi      ,DELL1195    ,
IF_REL_001I         0,20220314,14595344,NG,    ,    ,Juichi      ,DELL1195    ,
