IF_IDX_001R         02022032411241783OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
IF_IDX_001S         02022032411241787OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
IF_IDX_004          02022032411241792OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
IF_IDX_001I         02022032411241764OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
IF_IDX_001I         12022032411175549OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
IF_IDX_001R         12022032411175567OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
IF_IDX_001S         12022032411175571OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
IF_IDX_004          12022032411175576OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
IF_IDX_001I         22022032411164264OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
IF_IDX_001I         32022031710085020OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
IF_IDX_001R         22022032411164286OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
IF_IDX_001S         22022032411164290OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
IF_IDX_004          22022032411164297OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
IF_IDX_001R         32022031710085030OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
IF_IDX_001S         32022031710085031OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
IF_IDX_004          32022031710085033OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
IF_REL_001I         02022032411242615NG                                                Juichi      HP-pav                                                                                                                                                                                                                                 
IF_REL_001R         02022032411242639NG                                                Juichi      HP-pav                                                                                                                                                                                                                                 
IF_REL_001S         02022032411242648NG                                                Juichi      HP-pav                                                                                                                                                                                                                                 
IF_REL_001I         12022032411180395NG                                                Juichi      HP-pav                                                                                                                                                                                                                                 
IF_REL_001R         12022032411180418NG                                                Juichi      HP-pav                                                                                                                                                                                                                                 
IF_REL_001S         12022032411180429NG                                                Juichi      HP-pav                                                                                                                                                                                                                                 
IF_REL_001T         02022032411242662NG                                                Juichi      HP-pav                                                                                                                                                                                                                                 
IF_SEQ_001I         02022032411243470OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
IF_SEQ_001R         02022032411243487OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
