ISS_KEY1_CH         02022032411323210OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
ISS_KEY1_CH         12022031610531624OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
ISS_KEY1_CH         22022031610053507OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
ISS_KEY1_CH         32021111510164851OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
ISS_KEY1_EBCDIC     02021111510473716OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
ISS_KEY1_ASCII      02022032411320938OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
ISS_KEY1_CH_DSC     02022032411324321OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
ISS_KEY1_BI         02022032411322082OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
ISS_KEY1_PD         02022032411342512OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
ISS_KEY1_N          02022032411340184OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
ISS_KEY1_FL4        02022032411332808OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
ISS_KEY1_FL8        02022032411333917OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
ISS_INC_KEY1_DSC    02022032411314533OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
ISS_INC_KEY1_DSC    12022031610530115OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
ISS_INC_KEY1_DSC    22022031610510004OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
ISS_KEY1_ASCII      12022031610530870OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
ISS_KEY1_BI         12022031610531247OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
ISS_KEY1_CH_DSC     12022031610532007OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
ISS_KEY1_COPY       02022032411325436NG                                                Juichi      HP-pav                                                                                                                                                                                                                                 
ISS_KEY1_FI         02022032411331647OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
ISS_KEY1_FL4        12022031610533518OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
ISS_KEY1_FL8        12022031610533906OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
ISS_KEY1_K          02022032411335067OK                                                Juichi      HP-pav                                                                                                                                                                                                                                 
ISS_KEY1_N          12022031610534658OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
ISS_KEY1_OUTF2_001A 02022032411341379NG                                                Juichi      HP-pav                                                                                                                                                                                                                                 
ISS_KEY1_OUTF2_001B 02022032411341404NG                                                Juichi      HP-pav                                                                                                                                                                                                                                 
ISS_KEY1_PD         12022031610535438OK                                                Juichi      DELL1195                                                                                                                                                                                                                               
ISS_KEY1_SUM_B2     02022032411343631NG                                                Juichi      HP-pav                                                                                                                                                                                                                                 
ISS_KEY1_SUM_B4     02022032411344789NG                                                Juichi      HP-pav                                                                                                                                                                                                                                 
ISS_KEY1_SUM_FL4    02022032411345914NG                                                Juichi      HP-pav                                                                                                                                                                                                                                 
